Generation 00389 --> STR 01, INT 02, STM 01, AGL 01
Generation 00390 --> STR 01, INT 01, STM 01, AGL 01
Generation 00391 --> STR 01, INT 01, STM 02, AGL 02
Generation 00392 --> STR 01, INT 02, STM 03, AGL 01
Generation 00393 --> STR 02, INT 01, STM 01, AGL 02
Generation 00394 --> STR 01, INT 01, STM 02, AGL 03
Generation 00395 --> STR 02, INT 01, STM 03, AGL 02
Generation 00396 --> STR 01, INT 01, STM 02, AGL 03
Generation 00397 --> STR 01, INT 01, STM 01, AGL 01
Generation 00398 --> STR 01, INT 02, STM 02, AGL 01
Generation 00399 --> STR 01, INT 01, STM 03, AGL 02
Generation 00400 --> STR 01, INT 01, STM 01, AGL 01
Generation 00401 --> STR 02, INT 01, STM 01, AGL 02
Generation 00402 --> STR 01, INT 01, STM 01, AGL 03
Generation 00403 --> STR 02, INT 01, STM 01, AGL 02
Generation 00404 --> STR 01, INT 01, STM 01, AGL 01
Generation 00405 --> STR 01, INT 02, STM 02, AGL 01
Generation 00406 --> STR 02, INT 03, STM 01, AGL 01
Generation 00407 --> STR 03, INT 01, STM 02, AGL 01
Generation 00408 --> STR 04, INT 02, STM 01, AGL 02
Generation 00409 --> STR 05, INT 03, STM 02, AGL 01
Generation 00410 --> STR 04, INT 02, STM 01, AGL 02
Generation 00411 --> STR 05, INT 01, STM 01, AGL 01
Generation 00412 --> STR 03, INT 01, STM 02, AGL 01
Generation 00413 --> STR 02, INT 01, STM 01, AGL 01
Generation 00414 --> STR 01, INT 01, STM 01, AGL 01
Generation 00415 --> STR 01, INT 01, STM 01, AGL 02
Generation 00416 --> STR 01, INT 02, STM 01, AGL 03
Generation 00417 --> STR 02, INT 01, STM 01, AGL 02
Generation 00418 --> STR 03, INT 01, STM 01, AGL 01
Generation 00419 --> STR 04, INT 01, STM 02, AGL 02
Generation 00420 --> STR 05, INT 01, STM 03, AGL 01
Generation 00421 --> STR 04, INT 01, STM 04, AGL 02
Generation 00422 --> STR 02, INT 01, STM 05, AGL 03
Generation 00423 --> STR 01, INT 02, STM 04, AGL 01
Generation 00424 --> STR 01, INT 03, STM 05, AGL 01
Generation 00425 --> STR 02, INT 01, STM 03, AGL 01
Generation 00426 --> STR 01, INT 01, STM 01, AGL 02
Generation 00427 --> STR 01, INT 02, STM 01, AGL 01
Generation 00428 --> STR 02, INT 01, STM 01, AGL 02
Generation 00429 --> STR 01, INT 01, STM 01, AGL 03
Generation 00430 --> STR 01, INT 02, STM 01, AGL 04
Generation 00431 --> STR 01, INT 01, STM 01, AGL 03
Generation 00432 --> STR 01, INT 02, STM 01, AGL 04
Generation 00433 --> STR 01, INT 01, STM 01, AGL 03
Generation 00434 --> STR 01, INT 01, STM 01, AGL 01
Generation 00435 --> STR 01, INT 02, STM 01, AGL 02
Generation 00436 --> STR 02, INT 01, STM 01, AGL 01
Generation 00437 --> STR 03, INT 01, STM 01, AGL 01
Generation 00438 --> STR 04, INT 01, STM 01, AGL 02
Generation 00439 --> STR 05, INT 01, STM 02, AGL 03
Generation 00440 --> STR 06, INT 01, STM 01, AGL 01
Generation 00441 --> STR 05, INT 01, STM 01, AGL 01
Generation 00442 --> STR 03, INT 01, STM 01, AGL 01
Generation 00443 --> STR 02, INT 01, STM 01, AGL 01
Generation 00444 --> STR 01, INT 02, STM 01, AGL 01
Generation 00445 --> STR 02, INT 01, STM 01, AGL 01
Generation 00446 --> STR 03, INT 01, STM 01, AGL 01
Generation 00447 --> STR 04, INT 01, STM 01, AGL 02
Generation 00448 --> STR 05, INT 02, STM 01, AGL 03
Generation 00449 --> STR 03, INT 01, STM 01, AGL 01
Generation 00450 --> STR 04, INT 02, STM 01, AGL 01
Generation 00451 --> STR 02, INT 01, STM 01, AGL 02
Generation 00452 --> STR 03, INT 02, STM 01, AGL 01
Generation 00453 --> STR 01, INT 01, STM 02, AGL 01
Generation 00454 --> STR 02, INT 01, STM 01, AGL 02
Generation 00455 --> STR 01, INT 01, STM 02, AGL 03
Generation 00456 --> STR 01, INT 01, STM 01, AGL 01
Generation 00457 --> STR 01, INT 01, STM 01, AGL 02
Generation 00458 --> STR 02, INT 02, STM 02, AGL 01
Generation 00459 --> STR 01, INT 03, STM 01, AGL 01
Generation 00460 --> STR 01, INT 01, STM 02, AGL 01
Generation 00461 --> STR 01, INT 01, STM 01, AGL 02
Generation 00462 --> STR 02, INT 01, STM 01, AGL 01
Generation 00463 --> STR 03, INT 02, STM 02, AGL 02
Generation 00464 --> STR 01, INT 03, STM 01, AGL 03
Generation 00465 --> STR 02, INT 01, STM 01, AGL 02
